transaction_id,customer_id,amount,timestamp
TXN0,CUST1042,46.05,2026-04-25 17:33:34.634608
TXN1,CUST1089,129.17,2026-05-09 12:33:34.634621
TXN2,CUST1410,119.23,2026-05-26 00:33:34.634623
TXN3,CUST1302,148.96,2026-05-23 06:33:34.634625
TXN4,CUST1335,125.98,2026-06-01 05:33:34.634626
TXN5,CUST1301,71.35,2026-05-03 21:33:34.634628
TXN6,CUST1104,179.83,2026-05-15 12:33:34.634630
TXN7,CUST1013,112.07,2026-06-03 01:33:34.634632
TXN8,CUST1294,118.63,2026-05-11 22:33:34.634635
TXN9,CUST1181,73.34,2026-04-24 15:33:34.634638
TXN10,CUST1126,97.84,2026-04-29 17:33:34.634640
TXN11,CUST1430,75.76,2026-05-11 03:33:34.634641
TXN12,CUST1361,111.35,2026-05-04 19:33:34.634643
TXN13,CUST1023,205.59,2026-05-03 10:33:34.634644
TXN14,CUST1063,51.4,2026-04-24 00:33:34.634645
TXN15,CUST1145,39.32,2026-05-02 11:33:34.634646
TXN16,CUST1490,193.56,2026-05-02 16:33:34.634647
TXN17,CUST1155,109.53,2026-05-05 12:33:34.634648
TXN18,CUST1147,86.55,2026-05-25 17:33:34.634650
TXN19,CUST1228,172.0,2026-05-18 14:33:34.634651
TXN20,CUST1485,89.72,2026-05-15 17:33:34.634652
TXN21,CUST1066,211.3,2026-05-31 03:33:34.634653
TXN22,CUST1459,153.9,2026-04-23 15:33:34.634654
TXN23,CUST1471,95.6,2026-05-05 18:33:34.634656
TXN24,CUST1315,227.87,2026-04-24 20:33:34.634657
TXN25,CUST1104,89.71,2026-05-20 00:33:34.634658
TXN26,CUST1104,157.1,2026-05-07 12:33:34.634659
TXN27,CUST1443,134.96,2026-05-20 17:33:34.634660
TXN28,CUST1039,185.09,2026-05-05 19:33:34.634661
TXN29,CUST1443,198.08,2026-04-27 22:33:34.634662
TXN30,CUST1201,121.6,2026-05-28 19:33:34.634663
TXN31,CUST1136,82.33,2026-05-03 09:33:34.634665
TXN32,CUST1067,143.0,2026-04-25 17:33:34.634667
TXN33,CUST1399,86.11,2026-05-21 07:33:34.634669
TXN34,CUST1181,220.67,2026-05-12 11:33:34.634670
TXN35,CUST1465,126.83,2026-05-20 22:33:34.634671
TXN36,CUST1042,101.73,2026-05-05 16:33:34.634672
TXN37,CUST1457,129.23,2026-05-16 16:33:34.634673
TXN38,CUST1322,52.64,2026-05-20 04:33:34.634674
TXN39,CUST1014,71.42,2026-05-16 22:33:34.634675
TXN40,CUST1111,180.02,2026-05-04 09:33:34.634676
TXN41,CUST1159,87.16,2026-05-21 12:33:34.634678
TXN42,CUST1295,67.65,2026-05-10 11:33:34.634679
TXN43,CUST1322,146.83,2026-05-28 16:33:34.634680
TXN44,CUST1487,179.29,2026-05-25 22:33:34.634681
TXN45,CUST1235,155.95,2026-05-16 04:33:34.634682
TXN46,CUST1419,169.8,2026-05-05 18:33:34.634683
TXN47,CUST1428,82.16,2026-04-24 00:33:34.634684
TXN48,CUST1159,48.91,2026-05-17 22:33:34.634685
TXN49,CUST1038,195.07,2026-05-05 05:33:34.634686
TXN50,CUST1449,103.87,2026-05-02 04:33:34.634688
TXN51,CUST1097,107.46,2026-04-25 14:33:34.634689
TXN52,CUST1494,186.41,2026-05-26 16:33:34.634690
TXN53,CUST1419,147.81,2026-05-07 20:33:34.634691
TXN54,CUST1447,142.79,2026-05-09 20:33:34.634692
TXN55,CUST1295,228.25,2026-05-21 06:33:34.634693
TXN56,CUST1258,87.82,2026-05-16 19:33:34.634694
TXN57,CUST1199,166.39,2026-05-10 17:33:34.634695
TXN58,CUST1086,122.85,2026-04-28 13:33:34.634696
TXN59,CUST1329,133.43,2026-06-03 02:33:34.634697
TXN60,CUST1009,196.42,2026-05-21 03:33:34.634698
TXN61,CUST1004,145.39,2026-05-21 21:33:34.634700
TXN62,CUST1124,146.91,2026-05-25 03:33:34.634701
TXN63,CUST1337,173.63,2026-05-15 18:33:34.634702
TXN64,CUST1361,101.75,2026-04-30 14:33:34.634703
TXN65,CUST1118,78.04,2026-05-09 09:33:34.634704
TXN66,CUST1300,67.76,2026-05-08 05:33:34.634705
TXN67,CUST1405,21.68,2026-05-06 04:33:34.634707
TXN68,CUST1161,222.81,2026-05-20 09:33:34.634708
TXN69,CUST1309,64.84,2026-05-14 06:33:34.634709
TXN70,CUST1232,108.94,2026-05-15 06:33:34.634710
TXN71,CUST1373,106.16,2026-05-15 06:33:34.634711
TXN72,CUST1219,135.37,2026-05-05 07:33:34.634712
TXN73,CUST1444,160.79,2026-05-25 00:33:34.634713
TXN74,CUST1186,163.02,2026-05-12 07:33:34.634714
TXN75,CUST1014,90.85,2026-05-13 22:33:34.634715
TXN76,CUST1159,111.64,2026-04-30 06:33:34.634716
TXN77,CUST1138,134.13,2026-04-25 16:33:34.634718
TXN78,CUST1265,107.57,2026-04-23 04:33:34.634719
TXN79,CUST1159,200.37,2026-04-30 03:33:34.634720
TXN80,CUST1047,144.55,2026-05-02 17:33:34.634721
TXN81,CUST1331,156.74,2026-05-26 21:33:34.634722
TXN82,CUST1339,153.14,2026-05-06 00:33:34.634723
TXN83,CUST1175,178.67,2026-05-30 12:33:34.634725
